S&P/TSX Composite index (^GSPTSE),,,,,,
"33,891.18-73.15(-0.22%)",,,,,,
At close: May 1 at 4:20:01 PM EDT,,,,,,
"Jan 01, 1990 - May 03, 2026",,,,,,
Historical Prices,,,,,,
Monthly,,,,,,
Currency in CAD,,,,,,
Download,,,,,,
Date,Open,High,Low,Close ,Adj Close ,Volume
01-Oct-22,"18,621.80","19,516.40","17,873.20","19,426.10","19,426.10","4,759,105,500"
01-Sep-22,"19,179.50","20,032.60","18,247.70","18,444.20","18,444.20","5,557,866,000"
01-Aug-22,"19,568.90","20,323.60","19,329.90","19,330.80","19,330.80","5,300,428,700"
01-Jul-22,"18,951.20","19,734.00","18,169.90","19,692.90","19,692.90","4,716,787,900"
01-Jun-22,"20,816.70","21,036.40","18,661.50","18,861.40","18,861.40","6,198,477,400"
01-May-22,"20,707.70","21,212.90","19,480.00","20,729.30","20,729.30","6,123,813,800"
01-Apr-22,"21,970.80","22,213.10","20,619.30","20,762.00","20,762.00","5,028,357,300"
01-Mar-22,"21,144.00","22,181.80","20,912.10","21,890.20","21,890.20","7,319,750,900"
01-Feb-22,"21,160.50","21,784.70","20,397.20","21,126.40","21,126.40","5,479,522,300"
01-Jan-22,"21,335.60","21,550.10","19,912.60","21,098.30","21,098.30","5,257,279,600"
01-Dec-21,"20,917.50","21,433.90","20,382.30","21,222.80","21,222.80","4,977,949,200"
01-Nov-21,"21,124.30","21,796.20","20,660.00","20,660.00","20,660.00","5,462,320,600"
01-Oct-21,"20,122.70","21,311.80","19,954.80","21,037.10","21,037.10","4,262,776,700"
01-Sep-21,"20,604.80","20,897.60","19,982.20","20,070.30","20,070.30","4,873,607,400"
01-Aug-21,"20,325.10","20,703.90","20,109.40","20,582.90","20,582.90","3,744,107,300"
01-Jul-21,"20,267.20","20,381.70","19,605.90","20,287.80","20,287.80","3,578,207,200"
01-Jun-21,"19,909.10","20,295.20","19,906.80","20,165.60","20,165.60","5,048,796,900"
01-May-21,"19,193.60","19,909.60","19,052.40","19,731.00","19,731.00","4,768,339,900"
01-Apr-21,"18,799.90","19,439.80","18,772.70","19,108.30","19,108.30","4,225,253,700"
01-Mar-21,"18,249.80","19,037.10","17,950.80","18,700.70","18,700.70","6,437,586,500"
01-Feb-21,"17,527.40","18,579.70","17,487.70","18,060.30","18,060.30","5,377,980,500"
01-Jan-21,"17,583.40","18,058.60","17,297.80","17,337.00","17,337.00","5,011,119,800"
01-Dec-20,"17,431.30","17,684.10","17,220.90","17,433.40","17,433.40","5,202,728,900"
01-Nov-20,"15,684.90","17,411.00","15,569.40","17,190.30","17,190.30","5,684,347,100"
01-Oct-20,"16,189.70","16,611.00","15,418.50","15,580.60","15,580.60","4,432,015,700"
01-Sep-20,"16,533.20","16,725.70","15,725.00","16,121.40","16,121.40","4,937,004,400"
01-Aug-20,"16,172.60","16,835.10","16,172.60","16,514.40","16,514.40","3,995,195,600"
01-Jul-20,"15,694.10","16,317.90","15,391.70","16,169.20","16,169.20","4,284,800,500"
01-Jun-20,"15,177.60","15,980.10","14,934.70","15,515.20","15,515.20","7,063,577,500"
01-May-20,"14,563.00","15,342.40","14,187.50","15,192.80","15,192.80","6,397,636,900"
01-Apr-20,"12,966.80","15,257.90","12,814.00","14,780.70","14,780.70","7,314,475,700"
01-Mar-20,"16,325.00","16,798.20","11,172.70","13,378.80","13,378.80","10,996,859,000"
01-Feb-20,"17,351.00","17,970.50","15,896.40","16,263.10","16,263.10","4,968,852,600"
01-Jan-20,"17,131.60","17,666.50","17,033.20","17,318.50","17,318.50","4,661,181,300"
01-Dec-19,"17,060.90","17,230.60","16,817.00","17,063.40","17,063.40","4,156,688,600"
01-Nov-19,"16,537.70","17,120.90","16,534.90","17,040.20","17,040.20","4,313,437,900"
01-Oct-19,"16,683.60","16,707.50","16,198.10","16,483.20","16,483.20","4,059,545,200"
01-Sep-19,"16,382.50","16,947.20","16,328.40","16,658.60","16,658.60","4,682,831,000"
01-Aug-19,"16,389.20","16,505.90","15,964.40","16,442.10","16,442.10","4,104,739,700"
01-Jul-19,"16,463.60","16,641.80","16,282.10","16,406.60","16,406.60","3,712,162,700"
01-Jun-19,"16,053.50","16,603.90","15,960.90","16,382.20","16,382.20","4,223,231,600"
01-May-19,"16,580.60","16,604.90","15,963.30","16,037.50","16,037.50","4,752,008,500"
01-Apr-19,"16,187.90","16,672.70","16,153.60","16,580.70","16,580.70","4,499,161,900"
01-Mar-19,"16,086.30","16,275.30","15,891.90","16,102.10","16,102.10","5,665,494,600"
01-Feb-19,"15,562.30","16,115.80","15,483.40","15,999.00","15,999.00","4,753,997,700"
01-Jan-19,"14,163.90","15,564.60","14,112.80","15,540.60","15,540.60","5,215,379,100"
01-Dec-18,"15,358.90","15,378.90","13,776.90","14,322.90","14,322.90","5,249,256,700"
01-Nov-18,"15,032.80","15,393.10","14,810.60","15,197.80","15,197.80","5,580,999,000"
01-Oct-18,"16,152.30","16,193.10","14,639.70","15,027.30","15,027.30","6,140,889,300"
01-Sep-18,"16,276.30","16,300.70","15,975.80","16,073.10","16,073.10","4,797,558,000"
01-Aug-18,"16,383.80","16,494.10","16,075.30","16,262.90","16,262.90","4,362,840,200"
01-Jul-18,"16,332.40","16,586.50","16,227.30","16,434.00","16,434.00","3,514,022,500"
01-Jun-18,"16,075.80","16,489.50","16,038.00","16,277.70","16,277.70","4,438,640,100"
01-May-18,"15,592.50","16,238.80","15,548.70","16,061.50","16,061.50","4,525,260,200"
01-Apr-18,"15,351.20","15,702.60","14,991.20","15,607.90","15,607.90","4,044,331,800"
01-Mar-18,"15,452.70","15,791.20","15,150.50","15,367.30","15,367.30","4,324,581,200"
01-Feb-18,"15,920.00","15,922.60","14,785.80","15,442.70","15,442.70","4,449,009,200"
01-Jan-18,"16,213.40","16,421.40","15,898.70","15,951.70","15,951.70","4,635,890,300"
01-Dec-17,"16,058.20","16,232.20","15,853.10","16,209.10","16,209.10","3,501,176,100"
01-Nov-17,"16,093.40","16,131.80","15,829.40","16,067.50","16,067.50","3,888,878,600"
01-Oct-17,"15,640.00","16,064.70","15,619.20","16,025.60","16,025.60","3,482,763,100"
01-Sep-17,"15,194.70","15,692.00","14,953.90","15,634.90","15,634.90","3,870,060,000"
01-Aug-17,"15,192.10","15,324.60","14,918.60","15,211.90","15,211.90","3,369,669,600"
01-Jul-17,"15,217.40","15,319.20","14,915.80","15,143.90","15,143.90","3,057,099,700"
