date,tsx_cad,sp500_usd,vt_usd,usd_cad,sp500_cad,vt_cad
2003-02-01,6555.1,841.1500244,,1.5121473684210525,1271.942795843764,
2003-03-01,6343.3,848.1799927,,1.4760809523809524,1251.9823314150851,
2003-04-01,6586.1,916.9199829,,1.4582045454545456,1337.0568868828843,
2003-05-01,6859.8,963.5900269,,1.3839571428571429,1333.5673005141614,
2003-06-01,6983.1,974.5,,1.3525095238095237,1318.0205309523808,
2003-07-01,7257.9,990.3099976,,1.382090909090909,1368.6984448648,
2003-08-01,7510.3,1008.01001,,1.3962714285714286,1407.455576677,
2003-09-01,7421.1,995.9699707,,1.3633714285714287,1357.8770017675029,
2003-10-01,7772.7,1050.709961,,1.3220954545454544,1389.1388634837317,
2003-11-01,7859.4,1058.199951,,1.3130444444444445,1389.4635667719335,
2003-12-01,8220.9,1111.920044,,1.3127545454545455,1459.6780919430182,
2004-01-01,8521.4,1131.130005,,1.295755,1465.6673596287749,
2004-02-01,8788.5,1144.939941,,1.3298947368421052,1522.6496015362106,
2004-03-01,8585.9,1126.209961,,1.3285782608695653,1496.258071359361,
2004-04-01,8244.0,1107.300049,,1.3419727272727273,1485.9664666657545,
2004-05-01,8417.3,1120.680054,,1.37886,1545.2608992584398,
2004-06-01,8545.6,1140.839966,,1.357840909090909,1549.0791765606816,
2004-07-01,8458.1,1101.719971,,1.3225047619047618,1457.0299079330762,
2004-08-01,8377.0,1104.23999,,1.3126772727272729,1449.5107385095912,
2004-09-01,8668.3,1114.579956,,1.2880952380952382,1435.6851338000001,
2004-10-01,8871.0,1130.199951,,1.2469350000000001,1409.2858759001851,
2004-11-01,9030.1,1173.819946,,1.1967700000000001,1404.7924967744202,
2004-12-01,9246.7,1211.920044,,1.2188826086956523,1477.1882647612697,
2005-01-01,9204.1,1181.27002,,1.2248350000000001,1446.8608649467,
2005-02-01,9668.3,1203.599976,,1.2400526315789473,1492.5273176071578,
2005-03-01,9612.4,1180.589966,,1.2160260869565216,1435.6281966551128,
2005-04-01,9369.3,1156.849976,,1.2359,1429.7508853384,
2005-05-01,9607.3,1191.5,,1.2555285714285713,1495.9622928571428,
2005-06-01,9902.8,1191.329956,,1.2401681818181818,1477.4495054780546,
2005-07-01,10422.9,1234.180054,,1.222855,1509.2232499341699,
2005-08-01,10668.9,1220.329956,,1.2042826086956522,1469.6221428811305,
2005-09-01,11011.8,1228.810059,,1.1776809523809524,1447.1462005784142,
2005-10-01,10383.3,1207.01001,,1.177415,1421.15169092415,
2005-11-01,10824.1,1249.47998,,1.181545,1476.3168229691003,
2005-12-01,11272.3,1248.290039,,1.1614809523809524,1449.8651033453762,
2006-01-01,11945.6,1280.079956,,1.157165,1481.26372228474,
2006-02-01,11688.3,1280.660034,,1.1488947368421052,1471.3435727466315,
2006-03-01,12110.6,1294.869995,,1.1573086956521739,1498.564304952587,
2006-04-01,12204.2,1310.609985,,1.1441050000000001,1499.4754368884253,
2006-05-01,11744.5,1270.089966,,1.109990909090909,1409.7883159875817,
2006-06-01,11612.9,1270.199951,,1.1137272727272727,1414.6563272455455,
2006-07-01,11831.0,1276.660034,,1.129445,1441.91729210113,
2006-08-01,12073.8,1303.819946,,1.118213043478261,1457.948469964322,
2006-09-01,11761.3,1335.849976,,1.11612,1490.9688752131199,
2006-10-01,12344.6,1377.939941,,1.1285380952380952,1555.0577163686335,
2006-11-01,12752.4,1400.630005,,1.1358809523809523,1590.948944012738,
2006-12-01,12908.4,1418.300049,,1.153235,1635.6332570085149,
2007-01-01,13034.1,1438.23999,,1.1762619047619047,1691.746910142143,
2007-02-01,13045.0,1406.819946,,1.1709894736842106,1647.3713481349896,
2007-03-01,13165.5,1420.859985,,1.1681590909090909,1659.7905083867045,
2007-04-01,13416.7,1482.369995,,1.1349857142857143,1682.4687676107858,
2007-05-01,14056.8,1530.619995,,1.0950863636363637,1676.1610844336592,
2007-06-01,13906.6,1503.349976,,1.065104761904762,1601.2252182470097,
2007-07-01,13868.6,1455.27002,,1.0501857142857143,1528.3037854322856,
2007-08-01,13660.5,1473.98999,,1.0578521739130435,1559.2635152475652,
2007-09-01,14098.9,1526.75,,1.026745,1567.58292875,
2007-10-01,14625.0,1549.380005,,0.9754130434782609,1511.285466181413,
2007-11-01,13689.1,1481.140015,,0.9672380952380953,1432.615046889524,
2007-12-01,13833.1,1468.359985,,1.00207,1471.39949016895,
2008-01-01,13155.1,1378.550049,,1.0099428571428573,1392.2567752014859,
2008-02-01,13582.7,1330.630005,,0.998555,1328.7072446427749,
2008-03-01,13350.1,1322.699951,,1.0029428571428571,1326.5924679986572,
2008-04-01,13937.0,1385.589966,,1.0137181818181817,1404.5977410790363,
2008-05-01,14714.7,1400.380005,,0.9993047619047618,1399.4064074727141,
2008-06-01,14467.0,1280.0,,1.0166238095238096,1301.2784761904763,
2008-07-01,13592.9,1267.380005,33.06,1.0129636363636363,1283.8098585193636,33.48857781818182
2008-08-01,13771.3,1282.829956,32.45,1.0534571428571429,1351.4063802193143,34.18468428571429
2008-09-01,11752.9,1166.359985,29.49,1.0582047619047619,1234.2476902221667,31.206458428571427
2008-10-01,9762.8,968.75,23.17,1.1846954545454547,1147.6737215909093,27.449393681818187
2008-11-01,9270.6,896.2399902,21.59,1.2170944444444443,1090.8087129613632,26.27706905555555
2008-12-01,8987.7,903.25,22.61,1.2336954545454546,1114.335419318182,27.893854227272726
2009-01-01,8694.9,825.8800049,20.29,1.22482,1011.554347601618,24.8515978
