Time Series Search Export,Search term,Search filters,,Last update of Residential property prices data,Downloaded at,Source,Source URL,Download URL,About Residential property prices
,,,,2026-04-30,2026-05-03 06:11 CEST,BIS,"https://data.bis.org/topics/RPP/BIS,WS_SPP,1.0/Q.CA.R.628?","https://data.bis.org/topics/RPP/BIS,WS_SPP,1.0/Q.CA.R.628?&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code",https://data.bis.org/topics/RPP

DATAFLOW_ID,KEY,FREQ,REF_AREA,VALUE,UNIT_MEASURE,Unit,Unit multiplier,TIME_PERIOD,OBS_CONF,OBS_PRE_BREAK,OBS_STATUS,OBS_VALUE
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1985-03-31,F,,A,44.0646
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1985-06-30,F,,A,44.5627
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1985-09-30,F,,A,44.358
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1985-12-31,F,,A,45.8775
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1986-03-31,F,,A,47.9237
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1986-06-30,F,,A,49.9282
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1986-09-30,F,,A,50.191
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1986-12-31,F,,A,53.1148
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1987-03-31,F,,A,57.0478
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1987-06-30,F,,A,55.5643
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1987-09-30,F,,A,54.9735
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1987-12-31,F,,A,57.5943
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1988-03-31,F,,A,62.3874
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1988-06-30,F,,A,62.9101
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1988-09-30,F,,A,62.8579
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1988-12-31,F,,A,67.4369
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1989-03-31,F,,A,73.2964
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1989-06-30,F,,A,65.8368
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1989-09-30,F,,A,66.436
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1989-12-31,F,,A,69.7457
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1990-03-31,F,,A,67.5219
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1990-06-30,F,,A,62.4101
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1990-09-30,F,,A,62.1317
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1990-12-31,F,,A,61.7145
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1991-03-31,F,,A,62.8823
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1991-06-30,F,,A,64.6421
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1991-09-30,F,,A,60.6376
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1991-12-31,F,,A,61.4683
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1992-03-31,F,,A,62.2387
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1992-06-30,F,,A,62.3972
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1992-09-30,F,,A,62.2764
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1992-12-31,F,,A,63.3468
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1993-03-31,F,,A,63.4415
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1993-06-30,F,,A,63.3176
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1993-09-30,F,,A,61.6801
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1993-12-31,F,,A,62.1264
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1994-03-31,F,,A,65.273
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1994-06-30,F,,A,64.9563
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1994-09-30,F,,A,63.5844
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1994-12-31,F,,A,64.1443
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1995-03-31,F,,A,61.7928
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1995-06-30,F,,A,59.7398
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1995-09-30,F,,A,60.1995
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1995-12-31,F,,A,60.2732
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1996-03-31,F,,A,59.296
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1996-06-30,F,,A,60.0922
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1996-09-30,F,,A,59.1753
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1996-12-31,F,,A,59.16
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1997-03-31,F,,A,59.5255
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1997-06-30,F,,A,60.8449
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1997-09-30,F,,A,59.6296
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1997-12-31,F,,A,59.5975
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1998-03-31,F,,A,58.7171
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1998-06-30,F,,A,59.072
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1998-09-30,F,,A,57.8359
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1998-12-31,F,,A,58.5525
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1999-03-31,F,,A,58.7194
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1999-06-30,F,,A,60.36
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1999-09-30,F,,A,59.4283
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1999-12-31,F,,A,60.0764
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,2000-03-31,F,,A,60.0711
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,2000-06-30,F,,A,60.7041
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,2000-09-30,F,,A,60.0071
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,2000-12-31,F,,A,60.2182
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,2001-03-31,F,,A,59.9294
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,2001-06-30,F,,A,61.4651
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,2001-09-30,F,,A,61.5748
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,2001-12-31,F,,A,62.9571
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,2002-03-31,F,,A,65.2743
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,2002-06-30,F,,A,66.8429
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,2002-09-30,F,,A,65.5781
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,2002-12-31,F,,A,67.3256
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,2003-03-31,F,,A,67.8586
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,2003-06-30,F,,A,70.2072
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,2003-09-30,F,,A,71.4171
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,2003-12-31,F,,A,73.3939
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,2004-03-31,F,,A,74.2536
