date,canada_rent,canada_vacancy,toronto_rent,toronto_vacancy,vancouver_rent,vancouver_vacancy,calgary_rent,calgary_vacancy,ottawa_rent,ottawa_vacancy,montreal_rent,montreal_vacancy,edmonton_rent,edmonton_vacancy,canada_rent_index_1999,toronto_rent_index_1999,vancouver_rent_index_1999,calgary_rent_index_1999,edmonton_rent_index_1999,canada_rent_index_2008,toronto_rent_index_2008,vancouver_rent_index_2008,calgary_rent_index_2008,ottawa_rent_index_2008,montreal_rent_index_2008,edmonton_rent_index_2008
2001-08-01,622.0,2.2,912.0,0.6,773.0,0.8,674.0,1.2,,,,,549.0,1.3,106.14334470989762,112.87128712871286,103.20427236315086,104.98442367601245,108.0708661417323,83.37801608579089,92.02825428859738,81.62618796198522,68.35699797160242,,,62.03389830508475
2001-09-01,622.0,2.2,912.0,0.6,773.0,0.8,674.0,1.2,,,,,549.0,1.3,106.14334470989762,112.87128712871286,103.20427236315086,104.98442367601245,108.0708661417323,83.37801608579089,92.02825428859738,81.62618796198522,68.35699797160242,,,62.03389830508475
2001-10-01,647.0,1.7,955.0,0.9,796.0,0.7,713.0,1.2,847.0,0.8,,,600.0,0.9,110.40955631399318,118.1930693069307,106.27503337783712,111.05919003115265,118.11023622047243,86.72922252010724,96.3673057517659,84.05491024287223,72.31237322515213,95.2755905511811,,67.79661016949152
2001-11-01,647.0,1.7,955.0,0.9,796.0,0.7,713.0,1.2,847.0,0.8,,,600.0,0.9,110.40955631399318,118.1930693069307,106.27503337783712,111.05919003115265,118.11023622047243,86.72922252010724,96.3673057517659,84.05491024287223,72.31237322515213,95.2755905511811,,67.79661016949152
2001-12-01,647.0,1.7,955.0,0.9,796.0,0.7,713.0,1.2,847.0,0.8,,,600.0,0.9,110.40955631399318,118.1930693069307,106.27503337783712,111.05919003115265,118.11023622047243,86.72922252010724,96.3673057517659,84.05491024287223,72.31237322515213,95.2755905511811,,67.79661016949152
2002-01-01,647.0,1.7,955.0,0.9,796.0,0.7,713.0,1.2,847.0,0.8,,,600.0,0.9,110.40955631399318,118.1930693069307,106.27503337783712,111.05919003115265,118.11023622047243,86.72922252010724,96.3673057517659,84.05491024287223,72.31237322515213,95.2755905511811,,67.79661016949152
2002-02-01,647.0,1.7,955.0,0.9,796.0,0.7,713.0,1.2,847.0,0.8,,,600.0,0.9,110.40955631399318,118.1930693069307,106.27503337783712,111.05919003115265,118.11023622047243,86.72922252010724,96.3673057517659,84.05491024287223,72.31237322515213,95.2755905511811,,67.79661016949152
2002-03-01,647.0,1.7,955.0,0.9,796.0,0.7,713.0,1.2,847.0,0.8,,,600.0,0.9,110.40955631399318,118.1930693069307,106.27503337783712,111.05919003115265,118.11023622047243,86.72922252010724,96.3673057517659,84.05491024287223,72.31237322515213,95.2755905511811,,67.79661016949152
2002-04-01,647.0,1.7,955.0,0.9,796.0,0.7,713.0,1.2,847.0,0.8,,,600.0,0.9,110.40955631399318,118.1930693069307,106.27503337783712,111.05919003115265,118.11023622047243,86.72922252010724,96.3673057517659,84.05491024287223,72.31237322515213,95.2755905511811,,67.79661016949152
2002-05-01,647.0,1.7,955.0,0.9,796.0,0.7,713.0,1.2,847.0,0.8,,,600.0,0.9,110.40955631399318,118.1930693069307,106.27503337783712,111.05919003115265,118.11023622047243,86.72922252010724,96.3673057517659,84.05491024287223,72.31237322515213,95.2755905511811,,67.79661016949152
