date,canada_house_index_2010,canada_house_real_index,tsx_cad,tsx_real,tsx_real_index,sp500_usd,usd_cad,sp500_cad,sp500_real,sp500_real_index
2005-04-01,79.9412,136.52909781819733,9369.3,8042.128986866792,119.50381875396442,1156.849976,1.2359,1429.7508853384,1227.2251970775196,63.11786414818952
2005-05-01,79.9412,136.52909781819733,9607.3,8238.687441424554,122.42462317856267,1191.5,1.2555285714285713,1495.9622928571428,1282.8542623845226,65.97894277915279
2005-06-01,81.2524,138.7684556594509,9902.8,8476.203928905517,125.9540526763183,1191.329956,1.2401681818181818,1477.4495054780546,1264.60832321087,65.04052926485954
2005-07-01,81.2524,138.7684556594509,10422.9,8904.718487394959,132.321660832664,1234.180054,1.222855,1509.2232499341699,1289.3924124087446,66.31520874402383
2005-08-01,81.2524,138.7684556594509,10668.9,9080.970697674418,134.94072006767738,1220.329956,1.2042826086956522,1469.6221428811305,1250.8876844057995,64.33485811486432
2005-09-01,81.9448,139.95098415951497,11011.8,9295.015682656825,138.12136951166227,1228.810059,1.1776809523809524,1447.1462005784142,1221.530233883071,62.82496443093133
2005-10-01,81.9448,139.95098415951497,10383.3,8805.115384615383,130.84158619554478,1207.01001,1.177415,1421.15169092415,1205.1471707095434,61.98236116774831
2005-11-01,81.9448,139.95098415951497,10824.1,9195.962395543174,136.64946498370145,1249.47998,1.181545,1476.3168229691003,1254.252454054528,64.50791280285813
2005-12-01,82.9798,141.71862858118783,11272.3,9585.645446096654,142.44004764171203,1248.290039,1.1614809523809524,1449.8651033453762,1232.9243211533637,63.410977865247666
2006-01-01,82.9798,141.71862858118783,11945.6,10101.870609981515,150.11101120395733,1280.079956,1.157165,1481.26372228474,1252.639839085524,64.42497381759338
2006-02-01,82.9798,141.71862858118783,11688.3,9902.5875,147.1497191512125,1280.660034,1.1488947368421052,1471.3435727466315,1246.554971354785,64.11202077873541
2006-03-01,85.6578,146.2923017804534,12110.6,10203.682320441989,151.6239051420885,1294.869995,1.1573086956521739,1498.564304952587,1262.6025221285608,64.93736818201756
2006-04-01,85.6578,146.2923017804534,12204.2,10226.046703296704,151.95623370329147,1310.609985,1.1441050000000001,1499.4754368884253,1256.4285940960706,64.61983465048365
2006-05-01,85.6578,146.2923017804534,11744.5,9796.005013673655,145.56593279947774,1270.089966,1.109990909090909,1409.7883159875817,1175.8945388592863,60.477858450970324
2006-06-01,88.764,151.59728448827974,11612.9,9703.9301369863,144.19772552583063,1270.199951,1.1137272727272727,1414.6563272455455,1182.1100816709352,60.797532287302204
2006-07-01,88.764,151.59728448827974,11831.0,9877.157846715329,146.7718415168112,1276.660034,1.129445,1441.91729210113,1203.7904400296843,61.912582660151706
