date,house_price_at_purchase,down_payment,initial_loan_amount,mortgage_type,mortgage_term_years,mortgage_rate,mortgage_payment,mortgage_interest,mortgage_principal,mortgage_balance,house_price,owner_networth,rent,maintenance_cost,property_tax,depreciation_cost,owner_monthly_cost,purchase_cost,sale_cost,owner_total_cost
2009-05-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,804.7866960680645,370.3770356351282,172083.91497895017,291500.0,119416.08502104983,774.0,258.0,242.91666666666666,242.91666666666666,1548.620029401398,0,0,1548.620029401398
2009-06-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,803.0582699017674,372.10546180142535,171711.80951714874,295000.0,123288.19048285126,774.0,258.0,245.83333333333334,245.83333333333334,1552.7249365684338,0,0,1552.7249365684338
2009-07-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,801.321777746694,373.84195395649874,171337.96756319224,299200.0,127862.03243680776,774.0,258.0,249.33333333333334,249.33333333333334,1557.9884444133604,0,0,1557.9884444133604
2009-08-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,799.5771819615637,375.586549741629,170962.38101345062,303300.0,132337.61898654938,774.0,258.0,252.75,252.75,1563.0771819615638,0,0,1563.0771819615638
2009-09-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,797.8244447294361,377.33928697375666,170585.04172647686,307800.0,137214.95827352314,774.0,258.0,256.5,256.5,1568.824444729436,0,0,1568.824444729436
2009-10-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,796.063528056892,379.10020364630077,170205.94152283057,312400.0,142194.05847716943,782.0,260.6666666666667,260.3333333333333,260.3333333333333,1577.3968613902252,0,0,1577.3968613902252
2009-11-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,794.2943937732092,380.86933792998354,169825.07218490058,316400.0,146574.92781509942,782.0,260.6666666666667,263.6666666666667,263.6666666666667,1582.2943937732093,0,0,1582.2943937732093
2009-12-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,792.5170035295359,382.6467281736568,169442.42545672692,320600.0,151157.57454327308,782.0,260.6666666666667,267.1666666666667,267.1666666666667,1587.5170035295362,0,0,1587.5170035295362
2010-01-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,677.7697018269077,421.83957526187555,169020.58588146506,322400.0,153379.41411853494,782.0,260.6666666666667,268.6666666666667,268.6666666666667,1475.769701826908,0,0,1475.769701826908
2010-02-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,676.0823435258602,423.5269335629231,168597.05894790214,324600.0,156002.94105209786,782.0,260.6666666666667,270.5,270.5,1477.7490101925268,0,0,1477.7490101925268
2010-03-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,674.3882357916086,425.2210412971747,168171.83790660498,326200.0,158028.16209339502,782.0,260.6666666666667,271.8333333333333,271.8333333333333,1478.7215691249419,0,0,1478.7215691249419
2010-04-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,672.68735162642,426.92192546236333,167744.9159811426,326800.0,159055.0840188574,782.0,260.6666666666667,272.3333333333333,272.3333333333333,1478.0206849597532,0,0,1478.0206849597532
2010-05-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,670.9796639245704,428.62961316421286,167316.2863679784,326300.0,158983.7136320216,782.0,260.6666666666667,271.9166666666667,271.9166666666667,1475.4796639245706,0,0,1475.4796639245706
2010-06-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,669.2651454719137,430.3441316168696,166885.94223636153,325300.0,158414.05776363847,782.0,260.6666666666667,271.0833333333333,271.0833333333333,1472.098478805247,0,0,1472.098478805247
2010-07-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,667.5437689454461,432.0655081433372,166453.8767282182,324300.0,157846.1232717818,782.0,260.6666666666667,270.25,270.25,1468.7104356121129,0,0,1468.7104356121129
2010-08-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,665.8155069128728,433.7937701759105,166020.08295804227,324200.0,158179.91704195773,782.0,260.6666666666667,270.1666666666667,270.1666666666667,1466.815506912873,0,0,1466.815506912873
2010-09-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,664.0803318321691,435.5289452566142,165584.55401278567,324500.0,158915.44598721433,782.0,260.6666666666667,270.4166666666667,270.4166666666667,1465.5803318321693,0,0,1465.5803318321693
2010-10-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,662.3382160511427,437.2710610376406,165147.28295174803,325600.0,160452.71704825197,806.0,268.6666666666667,271.3333333333333,271.3333333333333,1473.6715493844758,0,0,1473.6715493844758
2010-11-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,660.5891318069921,439.0201452817912,164708.26280646623,327100.0,162391.73719353377,806.0,268.6666666666667,272.5833333333333,272.5833333333333,1474.4224651403254,0,0,1474.4224651403254
2010-12-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,658.8330512258649,440.7762258629184,164267.48658060332,328900.0,164632.51341939668,806.0,268.6666666666667,274.0833333333333,274.0833333333333,1475.6663845591981,0,0,1475.6663845591981
2011-01-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,657.0699463224133,442.53933076636997,163824.94724983696,330900.0,167075.05275016304,806.0,268.6666666666667,275.75,275.75,1477.23661298908,0,0,1477.23661298908
2011-02-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,655.2997889993478,444.3094880894355,163380.63776174752,333800.0,170419.36223825248,806.0,268.6666666666667,278.1666666666667,278.1666666666667,1480.299788999348,0,0,1480.299788999348
2011-03-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,653.5225510469901,446.0867260417932,162934.55103570572,336000.0,173065.44896429428,806.0,268.6666666666667,280.0,280.0,1482.1892177136567,0,0,1482.1892177136567
2011-04-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,651.738204142823,447.87107294596035,162486.67996275975,338200.0,175713.32003724025,806.0,268.6666666666667,281.8333333333333,281.8333333333333,1484.0715374761562,0,0,1484.0715374761562
2011-05-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,649.946719851039,449.6625572377443,162037.017405522,340800.0,178762.982594478,806.0,268.6666666666667,284.0,284.0,1486.6133865177057,0,0,1486.6133865177057
2011-06-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,648.148069622088,451.4612074666953,161585.5561980553,343400.0,181814.4438019447,806.0,268.6666666666667,286.1666666666667,286.1666666666667,1489.148069622088,0,0,1489.148069622088
2011-07-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,646.3422247922213,453.26705229656204,161132.28914575875,345900.0,184767.71085424125,806.0,268.6666666666667,288.25,288.25,1491.508891458888,0,0,1491.508891458888
2011-08-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,644.529156583035,455.08012050574825,160677.20902525302,348000.0,187322.79097474698,806.0,268.6666666666667,290.0,290.0,1493.1958232497018,0,0,1493.1958232497018
2011-09-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,642.7088361010121,456.90044098777116,160220.30858426524,349700.0,189479.69141573476,806.0,268.6666666666667,291.4166666666667,291.4166666666667,1494.2088361010124,0,0,1494.2088361010124
2011-10-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,640.881234337061,458.72804275172234,159761.5805415135,351300.0,191538.4194584865,826.0,275.3333333333333,292.75,292.75,1501.7145676703942,0,0,1501.7145676703942
2011-11-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,639.0463221660541,460.5629549227292,159301.01758659078,353100.0,193798.98241340922,826.0,275.3333333333333,294.25,294.25,1502.8796554993874,0,0,1502.8796554993874
2011-12-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,637.2040703463631,462.4052067424202,158838.61237984835,354700.0,195861.38762015165,826.0,275.3333333333333,295.5833333333333,295.5833333333333,1503.7040703463629,0,0,1503.7040703463629
2012-01-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,635.3544495193934,464.25482756938993,158374.35755227896,356800.0,198425.64244772104,826.0,275.3333333333333,297.3333333333333,297.3333333333333,1505.3544495193933,0,0,1505.3544495193933
2012-02-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,633.4974302091158,466.1118468796675,157908.24570539928,357900.0,199991.75429460072,826.0,275.3333333333333,298.25,298.25,1505.3307635424492,0,0,1505.3307635424492
2012-03-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,631.6329828215971,467.9762942671862,157440.2694111321,359300.0,201859.7305888679,826.0,275.3333333333333,299.4166666666667,299.4166666666667,1505.7996494882639,0,0,1505.7996494882639
2012-04-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,629.7610776445283,469.848199444255,156970.42121168785,361000.0,204029.57878831215,826.0,275.3333333333333,300.8333333333333,300.8333333333333,1506.761077644528,0,0,1506.761077644528
2012-05-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,627.8816848467515,471.72759224203185,156498.6936194458,360800.0,204301.3063805542,826.0,275.3333333333333,300.6666666666667,300.6666666666667,1504.5483515134183,0,0,1504.5483515134183
2012-06-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,625.9947744777833,473.61450261100003,156025.07911683482,360400.0,204374.92088316518,826.0,275.3333333333333,300.3333333333333,300.3333333333333,1501.994774477783,0,0,1501.994774477783
