date,canada_house_index_2010,canada_house_real_index,tsx_cad,tsx_real,tsx_real_index,sp500_usd,usd_cad,sp500_cad,sp500_real,sp500_real_index,start_year,base_date,end_date
2025-08-01,149.181,232.57093771387326,28564.5,15010.228762135921,373.6211266244162,6460.259766,1.3797190476190475,8913.343451717172,4683.832177904776,704.5376791180214,1995,1995-01-01,2025-12-01
2025-09-01,145.2817,226.49198759671552,30022.8,15766.976834445117,392.45741965015844,6688.459961,1.3834285714285715,9253.006608903428,4859.371572656379,730.942151583002,1995,1995-01-01,2025-12-01
2025-10-01,145.2817,226.49198759671552,30260.7,15853.458076225044,394.6100330112021,6840.200195,1.3987681818181819,9567.854390032524,5012.560134161019,753.9846325025867,1995,1995-01-01,2025-12-01
2025-11-01,145.2817,226.49198759671552,31382.8,16431.381378476417,408.99518054701724,6849.089844,1.4056166666666667,9627.1948362238,5040.598989219958,758.2022109977214,1995,1995-01-01,2025-12-01
2025-12-01,142.2693,221.79570125482698,31712.8,16644.41503030303,414.2978227829006,6845.5,1.379490909090909,9443.305018181818,4956.3043307548205,745.5226868855572,1995,1995-01-01,2025-12-01
2000-01-01,60.0764,100.0,8481.1,8481.1,100.0,1394.459961,1.4486,2020.0146995046002,2020.0146995046002,100.0,2000,2000-01-01,2025-12-01
2000-02-01,60.0764,100.0,9129.0,9070.791710945803,106.95300976224549,1366.420044,1.45121,1982.96243205324,1970.3186758446116,97.53981871160758,2000,2000-01-01,2025-12-01
2000-03-01,60.0711,99.9911779001405,9462.4,9332.64135021097,110.04045878731496,1498.579956,1.4607739130434783,2189.0865063346437,2159.06738757689,106.88374634632073,2000,2000-01-01,2025-12-01
2000-04-01,60.0711,99.9911779001405,9347.6,9248.683597883599,109.05051936521912,1452.430054,1.4688750000000002,2133.43819556925,2110.8621300076707,104.49736482241197,2000,2000-01-01,2025-12-01
2000-05-01,60.0711,99.9911779001405,9252.0,9115.511064278186,107.48029222952428,1420.599976,1.4957363636363636,2124.843042284145,2093.4965695844844,103.63768986918289,2000,2000-01-01,2025-12-01
