date,canada_house_real,canada_house_real_index_1999,bc_vancouver,bc_vancouver_real,bc_vancouver_real_index_1999,on_toronto,on_toronto_real,on_toronto_real_index_1999,qc_montreal,qc_montreal_real,qc_montreal_real_index_1999,ab_calgary,ab_calgary_real,ab_calgary_real_index_1999,on_ottawa,on_ottawa_real,on_ottawa_real_index_1999,ab_edmonton,ab_edmonton_real,ab_edmonton_real_index_1999
2011-04-01,100.5969,171.8063276546689,166.7,157.90816959669078,238.7122745225862,129.99,123.13427094105481,182.88173316657478,142.8,135.2686659772492,230.4406575421622,151.91,143.89820062047568,207.5554602920463,136.68,129.4714374353671,208.55579483789808,162.51,153.939152016546,251.45238813548838
2011-05-01,100.5969,171.8063276546689,168.64,159.74585315408476,241.4903297869762,132.62,125.62556359875904,186.58185593161895,144.22,136.61377456049638,232.73215427682516,156.79,148.52082730093068,214.22303086821097,136.2,129.01675284384692,207.82337764794931,162.68,154.10018614270942,251.7154298312797
2011-06-01,102.5685,175.1735621877802,171.63,162.57815925542914,245.77197166353608,136.12,128.94097207859357,191.5059736797766,146.09,138.38514994829367,235.749829554163,158.86,150.48165460186144,217.05128314129732,139.43,132.07640124095138,212.75193498864593,165.93,157.1787797311272,256.7441681331709
2011-07-01,102.5685,175.1735621877802,171.84,162.77708376421924,246.07268898597013,137.32,130.07768355739398,193.19424262200206,144.56,136.93584281282315,233.2808225090684,162.74,154.15702171664944,222.35254827152667,140.74,133.31731127197517,214.75082356954766,165.56,156.8282936918304,256.1716656188017
2011-08-01,102.5685,175.1735621877802,171.78,162.7202481902792,245.98676975098894,138.93,131.60277145811787,195.45933678615458,145.27,137.60839710444674,234.42657087639986,160.26,151.80781799379523,218.96411076560685,140.59,133.17522233712512,214.52194319768867,165.9,157.1503619441572,256.6977490103842
2011-09-01,103.7585,177.20592630545235,171.07,162.0476938986556,244.97005880371216,138.45,131.1480868665977,194.7840292092644,144.57,136.94531540847981,233.2969598100167,155.14,146.95784901758012,211.9686268824176,139.33,131.9816752843847,212.59934807407333,163.84,155.19900723888313,253.51030257903156
2011-10-01,103.7585,177.20592630545235,170.26,161.28041365046533,243.81014913146686,137.81,130.54184074457083,193.88361910674413,144.28,136.6706101344364,232.82897808251514,155.41,147.21360910031024,212.33752935282018,138.07,130.78812823164424,210.67675295045788,164.87,156.17468459152016,255.10402579470787
2011-11-01,103.7585,177.20592630545235,171.54,162.4929058945191,245.6430928110644,139.17,131.83011375387795,195.79699057459968,147.06,139.3039917269907,237.31514774615107,152.37,144.33394002068252,208.18396079717658,139.74,132.37005170630817,213.22495442382117,165.71,156.97038262668045,256.4037612327351
2011-12-01,103.6796,177.0711754408437,169.5,160.56049638055842,242.72183882170583,138.96,131.63118924508788,195.50154350971022,142.09,134.59611168562566,229.29490917483076,157.95,149.6196483971044,215.80794518549604,136.6,129.39565667011374,208.43372530623995,164.05,155.3979317476732,253.83523643853837
2012-01-01,103.6796,177.0711754408437,168.33,159.45220268872802,241.04641373957372,140.04,132.65422957600825,197.02098555771312,145.87,138.17675284384694,235.39480893329974,153.85,145.73588417786968,210.20609285716097,138.25,130.9586349534643,210.95140939668866,159.52,151.10684591520166,246.82594889774853
2012-02-01,103.6796,177.0711754408437,169.31,160.3805170630817,242.44976124426557,139.49,132.1332368148914,196.2471956258598,146.5,138.77352637021716,236.41145889304457,150.4,142.4678386763185,205.49233906868386,137.51,130.2576628748707,209.82226622885105,161.06,152.56562564632884,249.2087972007985
2012-03-01,105.5386,180.24610392382905,173.06,163.93274043433297,247.8197134305865,140.62,133.20364012409513,197.83698221312213,147.35,139.5786970010341,237.78312947365262,154.02,145.89691830403308,210.43836478296996,136.37,129.17778697001035,208.0827754027229,164.31,155.64421923474663,254.2375355026897
