start_year,holding_period,end_year,start_date,end_date,Attribute,start_value,end_value,total_growth,cagr
2000,20,2020,2000-01-01,2020-12-01,Toronto,106.01429148951887,281.2218426654784,1.652678603179473,0.04998774865857003
2000,20,2020,2000-01-01,2020-12-01,Vancouver,100.36712866964965,298.12043335852854,1.9702995125004326,0.055941873446660795
2000,25,2025,2000-01-01,2025-12-01,Calgary,99.9038158200222,205.0209057253627,1.0521829325789724,0.029173613137622123
2000,25,2025,2000-01-01,2025-12-01,Canada,102.6026215789249,242.9773280389394,1.3681395689488713,0.0350856596039002
2000,25,2025,2000-01-01,2025-12-01,Edmonton,103.61683207927226,197.41340223535585,0.9052252252252253,0.02611929221188114
2000,25,2025,2000-01-01,2025-12-01,Montreal,101.9400377155663,286.5319498218987,1.8107891290111335,0.04220494776977435
2000,25,2025,2000-01-01,2025-12-01,Ottawa,103.5385770990683,238.61320681037176,1.3045826347609615,0.03395988936937999
2000,25,2025,2000-01-01,2025-12-01,S&P 500(CAD),106.70013640058704,282.6585515097289,1.649092691395789,0.03973792689839062
2000,25,2025,2000-01-01,2025-12-01,TSX,131.6196998343633,278.8887317581537,1.1188980989101251,0.030491473891997023
2000,25,2025,2000-01-01,2025-12-01,Toronto,106.01429148951887,257.6635206963441,1.430460243389148,0.03616171332567797
2000,25,2025,2000-01-01,2025-12-01,Vancouver,100.36712866964965,290.2397581254723,1.89178102405194,0.04338987044866349
2005,5,2010,2005-01-01,2010-12-01,Calgary,121.58211090852085,171.2522594682846,0.4085317172781766,0.0709108684985933
2005,5,2010,2005-01-01,2010-12-01,Canada,132.18786559070918,168.6040732675804,0.2754882796097642,0.04986944037641594
2005,5,2010,2005-01-01,2010-12-01,Edmonton,136.13964612548952,205.24634558307326,0.5076162706775602,0.0855708253472629
2005,5,2010,2005-01-01,2010-12-01,Montreal,141.5395616644907,184.68079306970165,0.30479980931037587,0.05465101974668807
2005,5,2010,2005-01-01,2010-12-01,Ottawa,136.87402708021267,165.15727133143236,0.20663704323278798,0.038282013773097257
2005,5,2010,2005-01-01,2010-12-01,S&P 500(CAD),67.86103113848965,53.28779366078681,-0.21475119421574984,-0.04720063964661447
2005,5,2010,2005-01-01,2010-12-01,TSX,126.83329649868003,166.01415383847961,0.30891617912183933,0.05531562216868946
2005,5,2010,2005-01-01,2010-12-01,Toronto,124.98692144219147,146.87215398276507,0.1751001807872825,0.032797025840763494
2005,5,2010,2005-01-01,2010-12-01,Vancouver,124.67845173312544,186.6500442257281,0.49705134793663475,0.08404507155854635
2005,10,2015,2005-01-01,2015-12-01,Calgary,121.58211090852085,186.42220371266708,0.5333029038534487,0.04366902875371137
2005,10,2015,2005-01-01,2015-12-01,Canada,132.18786559070918,206.39084582212544,0.5613448700440444,0.04556222448997027
2005,10,2015,2005-01-01,2015-12-01,Edmonton,136.13964612548952,216.54717709601735,0.5906253854693477,0.04750665530751674
2005,10,2015,2005-01-01,2015-12-01,Montreal,141.5395616644907,192.45060635239136,0.3596948025639759,0.03120294286920533
2005,10,2015,2005-01-01,2015-12-01,Ottawa,136.87402708021267,166.12087934476997,0.21367715181944402,0.019554199018968488
2005,10,2015,2005-01-01,2015-12-01,S&P 500(CAD),67.86103113848965,109.425298687832,0.61249095175873,0.048937781901678745
2005,10,2015,2005-01-01,2015-12-01,TSX,126.83329649868003,149.23376434643234,0.17661346402035227,0.016397016047358326
2005,10,2015,2005-01-01,2015-12-01,Toronto,124.98692144219147,195.19692107013472,0.5617387708874526,0.04558859925837866
2005,10,2015,2005-01-01,2015-12-01,Vancouver,124.67845173312544,230.57697949623412,0.8493731377879536,0.06341419822339356
2005,15,2020,2005-01-01,2020-12-01,Calgary,121.58211090852085,168.38309534112219,0.38493314586234395,0.021947504043739574
2005,15,2020,2005-01-01,2020-12-01,Canada,132.18786559070918,282.0473933649289,1.133685963568146,0.05182147452978181
2005,15,2020,2005-01-01,2020-12-01,Edmonton,136.13964612548952,193.81465751932916,0.42364596232809726,0.023827522468496287
2005,15,2020,2005-01-01,2020-12-01,Montreal,141.5395616644907,247.64338444065865,0.7496407472822291,0.03799818062552873
2005,15,2020,2005-01-01,2020-12-01,Ottawa,136.87402708021267,225.71950171821302,0.6491039719751506,0.03391111096692412
2005,15,2020,2005-01-01,2020-12-01,S&P 500(CAD),67.86103113848965,172.93810348688095,1.5484154983432505,0.06435053429610171
2005,15,2020,2005-01-01,2020-12-01,TSX,126.83329649868003,184.1092823461699,0.45158477646353656,0.02515490423909439
2005,15,2020,2005-01-01,2020-12-01,Toronto,124.98692144219147,281.2218426654784,1.2500101564270318,0.05555037709148736
2005,15,2020,2005-01-01,2020-12-01,Vancouver,124.67845173312544,298.12043335852854,1.3911143362339478,0.05983930804718485
2005,20,2025,2005-01-01,2025-12-01,Calgary,121.58211090852085,205.0209057253627,0.6862752603433717,0.026470383801996622
2005,20,2025,2005-01-01,2025-12-01,Canada,132.18786559070918,242.9773280389394,0.8381212749986111,0.030905147368594177
2005,20,2025,2005-01-01,2025-12-01,Edmonton,136.13964612548952,197.41340223535585,0.45008017762427555,0.018754642370706343
2005,20,2025,2005-01-01,2025-12-01,Montreal,141.5395616644907,286.5319498218987,1.0243947801753266,0.03589267104693916
2005,20,2025,2005-01-01,2025-12-01,Ottawa,136.87402708021267,238.61320681037176,0.7433052267143174,0.028178863209100014
2005,20,2025,2005-01-01,2025-12-01,S&P 500(CAD),67.86103113848965,282.6585515097289,3.165255770029254,0.07394510718845404
2005,20,2025,2005-01-01,2025-12-01,TSX,126.83329649868003,278.8887317581537,1.1988605473252534,0.04018331771927053
2005,20,2025,2005-01-01,2025-12-01,Toronto,124.98692144219147,257.6635206963441,1.061523859642529,0.036834449014523374
