date,house_price_at_purchase,down_payment,initial_loan_amount,mortgage_type,mortgage_term_years,mortgage_rate,mortgage_payment,mortgage_interest,mortgage_principal,mortgage_balance,house_price,owner_networth,year,rent,maintenance_cost,property_tax,structure_value,depreciation_cost,home_insurance_cost,owner_monthly_cost,purchase_cost,sale_cost,owner_monthly_unrecoverable_cost,scenario_id,city,portfolio_name,start_date,end_date,down_payment_pct,property_tax_rate,structure_ratio
2013-12-01,171300,34260.0,137040.0,5-year fixed,5,0.048,795.1163746952666,427.1364507496753,367.9799239455913,106416.13276347323,336200,229783.86723652677,2013,1047.0,349.0,280.1666666666667,201720.0,168.1,84.05,1308.453117416342,0.0,0.0,1308.453117416342,15,Edmonton,balanced,2005-01-01,2025-12-01,0.2,0.01,0.6
2014-01-01,171300,34260.0,137040.0,5-year fixed,5,0.048,795.1163746952666,425.6645310538929,369.45184364137367,106046.68091983185,338000,231953.31908016815,2014,1126.0,375.3333333333333,281.6666666666667,202800.0,169.0,84.5,1336.164531053893,0.0,0.0,1336.164531053893,15,Edmonton,balanced,2005-01-01,2025-12-01,0.2,0.01,0.6
2014-02-01,171300,34260.0,137040.0,5-year fixed,5,0.048,795.1163746952666,424.18672367932743,370.92965101593916,105675.75126881592,340400,234724.24873118408,2014,1126.0,375.3333333333333,283.6666666666667,204240.0,170.20000000000002,85.10000000000001,1338.4867236793275,0.0,0.0,1338.4867236793275,15,Edmonton,balanced,2005-01-01,2025-12-01,0.2,0.01,0.6
2014-03-01,171300,34260.0,137040.0,5-year fixed,5,0.048,795.1163746952666,422.70300507526366,372.4133696200029,105303.33789919592,343400,238096.6621008041,2014,1126.0,375.3333333333333,286.1666666666667,206040.0,171.70000000000002,85.85000000000001,1341.7530050752637,0.0,0.0,1341.7530050752637,15,Edmonton,balanced,2005-01-01,2025-12-01,0.2,0.01,0.6
2014-04-01,171300,34260.0,137040.0,5-year fixed,5,0.048,795.1163746952666,421.2133515967837,373.9030230984829,104929.43487609744,345600,240670.56512390258,2014,1126.0,375.3333333333333,288.0,207360.0,172.79999999999998,86.39999999999999,1343.746684930117,0.0,0.0,1343.746684930117,15,Edmonton,balanced,2005-01-01,2025-12-01,0.2,0.01,0.6
2014-05-01,171300,34260.0,137040.0,5-year fixed,5,0.048,795.1163746952666,419.7177395043898,375.3986351908768,104554.03624090656,347100,242545.96375909343,2014,1126.0,375.3333333333333,289.25,208260.0,173.54999999999998,86.77499999999999,1344.626072837723,0.0,0.0,1344.626072837723,15,Edmonton,balanced,2005-01-01,2025-12-01,0.2,0.01,0.6
2014-06-01,171300,34260.0,137040.0,5-year fixed,5,0.048,795.1163746952666,418.2161449636262,376.90022973164037,104177.13601117491,347900,243722.8639888251,2014,1126.0,375.3333333333333,289.9166666666667,208740.0,173.95000000000002,86.97500000000001,1344.3911449636262,0.0,0.0,1344.3911449636262,15,Edmonton,balanced,2005-01-01,2025-12-01,0.2,0.01,0.6
2014-07-01,171300,34260.0,137040.0,5-year fixed,5,0.048,795.1163746952666,416.70854404469964,378.40783065056695,103798.72818052434,348800,245001.27181947566,2014,1126.0,375.3333333333333,290.6666666666667,209280.0,174.4,87.2,1344.3085440446998,0.0,0.0,1344.3085440446998,15,Edmonton,balanced,2005-01-01,2025-12-01,0.2,0.01,0.6
2014-08-01,171300,34260.0,137040.0,5-year fixed,5,0.048,795.1163746952666,415.19491272209734,379.92146197316924,103418.80671855118,350300,246881.19328144882,2014,1126.0,375.3333333333333,291.9166666666667,210180.0,175.15,87.575,1345.1699127220975,0.0,0.0,1345.1699127220975,15,Edmonton,balanced,2005-01-01,2025-12-01,0.2,0.01,0.6
2014-09-01,171300,34260.0,137040.0,5-year fixed,5,0.048,795.1163746952666,413.6752268742047,381.44114782106186,103037.36557073011,350600,247562.63442926988,2014,1126.0,375.3333333333333,292.1666666666667,210360.0,175.29999999999998,87.64999999999999,1344.1252268742048,0.0,0.0,1344.1252268742048,15,Edmonton,balanced,2005-01-01,2025-12-01,0.2,0.01,0.6
