date,canada_house_real,canada_house_real_index_1999,tsx_cad,tsx_real,tsx_real_index_1999,sp500_usd,usd_cad,sp500_cad,sp500_real,sp500_real_index_1999,bc_vancouver,bc_vancouver_real,bc_vancouver_real_index_1999,on_toronto,on_toronto_real,on_toronto_real_index_1999,qc_montreal,qc_montreal_real,qc_montreal_real_index_1999,ab_calgary,ab_calgary_real,ab_calgary_real_index_1999,on_ottawa,on_ottawa_real,on_ottawa_real_index_1999,ab_edmonton,ab_edmonton_real,ab_edmonton_real_index_1999
2010-08-01,101.3371,173.07049229324113,11913.9,9351.441645244215,148.1369563775281,1049.329956,1.0403954545454546,1091.718116540782,856.9098498297825,46.20210012289862,155.21,121.82721508140531,184.16812559547287,128.1,100.54807197943443,149.33621265325178,139.56,109.54323907455012,186.61539876413988,157.75,123.82090831191087,178.59643489385672,134.97,105.94046272493573,170.65151856465164,167.8,131.70934018851756,215.14103265030636
2010-09-01,99.7146,170.29947483028053,12368.7,9691.812831479896,153.52880433855395,1141.199951,1.032957142857143,1178.8106408136716,923.6873797992498,49.802551356155014,156.08,122.30049615055603,184.8835920643326,124.63,97.65704020530366,145.04238854196296,136.69,107.10696321642429,182.46501399731565,150.41,117.85762189905901,169.99512750477285,132.14,103.54169375534644,166.7875221574524,161.36,126.4377758768178,206.53017947863083
2010-10-01,99.7146,170.29947483028053,12676.2,9890.459284497445,156.6755791420065,1183.26001,1.0179,1204.440364179,939.7507441124054,50.668641489737254,154.67,120.67948892674615,182.43308983635092,125.17,97.66245315161838,145.0504279691347,136.09,106.18265758091992,180.8903877017375,154.52,120.5624531516184,173.8965139933916,133.29,103.99798977853492,167.5225350814029,166.05,129.55860306643953,211.62790438817302
2010-11-01,99.7146,170.29947483028053,12952.9,10097.750127659574,159.95929044085057,1180.550049,1.0129,1195.7791446320998,932.1988906238328,50.26146739661438,158.4,123.48459574468086,186.67361412650166,126.06,98.27315744680851,145.95745944869822,137.6,107.26944680851062,182.74181739098913,155.2,120.9899574468085,174.51313637214554,131.82,102.76350638297872,165.53399868392194,162.65,126.79778723404254,207.11824115328739
2010-12-01,98.7219,168.6040732675804,13443.2,10479.975489361703,166.01415383847961,1257.640015,1.0080619047619048,1267.7789890256904,988.3281310191765,53.28779366078681,158.38,123.46900425531915,186.6500442257281,126.85,98.88902127659573,146.87215398276507,139.06,108.40762553191487,184.68079306970165,152.3,118.72919148936171,171.2522594682846,131.52,102.52963404255318,165.15727133143236,161.18,125.65181276595744,205.24634558307326
2011-01-01,98.7219,168.6040732675804,13552.0,10537.887945670627,166.93154982290665,1286.119995,0.9939450000000001,1278.332538430275,994.0174916826246,53.5945475288397,158.38,123.15456706281833,186.17470455452505,127.33,99.01042444821732,147.05246464906776,138.92,108.02268251273343,184.02501279852373,150.06,116.68502546689304,168.30380133692924,130.93,101.8097453310696,163.99765678329516,160.06,124.46091680814939,203.3010728653208
2011-02-01,98.7219,168.6040732675804,14136.5,10964.465707027943,173.68900323202342,1327.219971,0.9876368421052631,1310.811340937479,1016.6834786610759,54.81663197561172,160.76,124.6876883996613,188.4923482988077,126.11,97.81266723116003,145.27352923089268,139.77,108.40755292125317,184.68066937181118,153.61,119.14204911092297,171.8477558213226,133.42,103.48240474174428,166.69201794739737,157.93,122.49270110076206,200.0860847774617
2011-03-01,100.5969,171.8063276546689,14116.1,10829.436850921273,171.55000001459396,1325.829956,0.9765608695652174,1294.753654726974,993.295098601263,53.55559818372506,162.72,124.83376884422108,188.71318041454433,128.02,98.21299832495812,145.8681097949772,140.85,108.05577889447235,184.08139505020844,150.75,115.65075376884421,166.8119915892748,131.15,100.6142378559464,162.07190376280028,162.25,124.47319932998325,203.3211357889305
2011-04-01,100.5969,171.8063276546689,13944.8,10662.301168614356,168.90238992213088,1363.609985,0.957952380952381,1306.2734318211906,998.7866974525964,53.851689306979736,166.7,127.4601001669449,192.68344696439138,129.99,99.39135225375627,147.6182270217678,142.8,109.18597662771286,186.0067744935483,151.91,116.15155258764607,167.53433230585037,136.68,104.5065776293823,168.34178097516482,162.51,124.25639398998328,202.96699442989757
2011-05-01,100.5969,171.8063276546689,13802.9,10483.794693200663,166.07465416067078,1345.199951,0.9680428571428572,1302.2112039944716,989.075839849864,53.32810795786842,168.64,128.08809286898838,193.6327934527413,132.62,100.72961857379768,149.60584965661323,144.22,109.54023217247098,186.61027627337475,156.79,119.08759535655058,171.76921297641798,136.2,103.44875621890546,166.63781607426785,162.68,123.56126036484245,201.83152624116704
2011-06-01,102.5685,175.1735621877802,13300.9,10169.970283806344,161.10333587539952,1320.640015,0.9766454545454546,1289.7970677405908,986.1887429468957,53.17244404502864,171.63,131.22961602671117,198.38188363826328,136.12,104.07839732888147,154.57952967307511,146.09,111.70153589315525,190.29222469021337,158.86,121.46557595993322,175.19915759401877,139.43,106.6092487479132,171.7288156377468,165.93,126.87135225375627,207.23840616425395
2011-07-01,102.5685,175.1735621877802,12945.6,9881.808,156.53853343260414,1292.280029,0.955315,1234.5344959041352,942.3613318734897,50.80939682956814,171.84,131.1712,198.2935752078609,137.32,104.82093333333331,155.68236051289665,144.56,110.34746666666668,187.9854628052243,162.74,124.22486666666667,179.17909514880523,140.74,107.43153333333333,173.05337199312717,165.56,126.37746666666665,206.43166721115102
2011-08-01,102.5685,175.1735621877802,12768.7,9722.468162926018,154.01441796578354,1218.890015,0.9817086956521739,1196.5949267691087,911.122986633835,49.12511562458153,171.78,130.79840399002492,197.7300135903627,138.93,105.78543640897755,157.11486173916168,145.27,110.61290108063176,188.43765090397233,160.26,122.0267331670823,176.00855786395832,140.59,107.0494098088113,172.43783796522442,165.9,126.3211970074813,206.33975336079925
2011-09-01,103.7585,177.20592630545235,11623.8,8828.69054726368,139.8560132314807,1131.420044,1.0025,1134.2485941099999,861.5022489260032,46.44970899667927,171.07,129.93376451077944,196.42292443050556,138.45,105.15771144278607,156.1825507838795,144.57,109.80606965174128,187.06315102511292,155.14,117.83436152570481,169.96157727636637,139.33,105.82610281923715,170.46730479902894,163.84,124.44232172470977,203.27069866826162
2011-10-01,103.7585,177.20592630545235,12252.1,9290.499668874172,147.17156951659626,1253.300049,1.0198,1278.1153899701999,969.1669678913105,52.25467917682947,170.26,129.1044370860927,195.1692170613646,137.81,104.49831125827815,155.20319509620995,144.28,109.40437086092716,186.37882599817232,155.41,117.84400662251655,169.9754891425307,138.07,104.69546357615893,168.64604313169934,164.87,125.01731788079469,204.20992793334648
