date,canada_house_index_2010,canada_house_index_1990,tsx_cad,tsx_index_1990,sp500_usd,usd_cad,sp500_cad,sp500_index_1990
1999-11-01,59.4283,85.20711671113776,7523.2,203.60542247746275,1388.910034,1.46743,2038.12825119262,528.431027709905
1999-12-01,60.0764,86.1363496244213,8413.8,227.7083293865477,1469.25,1.4722086956521738,2163.0426260869563,560.8179157590399
2000-01-01,60.0764,86.1363496244213,8481.1,229.52971455944402,1394.459961,1.4486,2020.0146995046002,523.7346781409434
2000-02-01,60.0764,86.1363496244213,9129.0,247.0642681035673,1366.420044,1.45121,1982.96243205324,514.1280364799746
2000-03-01,60.0711,86.1287505896421,9462.4,256.0872965826701,1498.579956,1.4607739130434783,2189.0865063346437,567.5703830764356
2000-04-01,60.0711,86.1287505896421,9347.6,252.98038695639232,1452.430054,1.4688750000000002,2133.43819556925,553.1422949368057
2000-05-01,60.0711,86.1287505896421,9252.0,250.39309984600771,1420.599976,1.4957363636363636,2124.843042284145,550.913806282515
2000-06-01,60.7041,87.03633342270562,10195.5,275.9276750410691,1454.599976,1.4770454545454543,2148.510282732727,557.0500757670202
2000-07-01,60.7041,87.03633342270562,10406.3,281.63269724681254,1430.829956,1.4777850000000001,2114.45904652746,548.2215195992654
2000-08-01,60.7041,87.03633342270562,11247.9,304.409484193462,1517.680054,1.482813043478261,2250.4357798979913,583.476575269869
2000-09-01,60.0071,86.03698866023282,10377.9,280.86408894205397,1436.51001,1.48643,2135.2715741642996,553.6176399670295
2000-10-01,60.0071,86.03698866023282,9639.6,260.88297938560055,1429.400024,1.5124761904761905,2161.933502966095,560.5303504057456
2000-11-01,60.0071,86.03698866023282,8819.9,238.69888687114175,1314.949951,1.5426380952380954,2028.4918877440668,525.9325816785891
2000-12-01,60.2182,86.33965964926871,8933.7,241.77873282471674,1320.280029,1.521875,2009.3011691343752,520.9569521265837
2001-01-01,60.2182,86.33965964926871,9321.9,252.2848505679312,1366.01001,1.5032,2053.386247032,532.3870095856673
2001-02-01,60.2182,86.33965964926871,8078.7,218.63929266385026,1239.939941,1.5215631578947368,1886.6469322277737,489.15605617040274
2001-03-01,59.9294,85.92558394280938,7608.0,205.90042192265744,1160.329956,1.558740909090909,1808.6537704608545,468.9345580371418
2001-04-01,59.9294,85.92558394280938,7946.6,215.06418149981465,1249.459961,1.5577666666666665,1946.3670785804331,504.6398601428248
2001-05-01,59.9294,85.92558394280938,8161.9,220.89099023272053,1255.819946,1.54105,1935.2813277833002,501.76562753099716
2001-06-01,61.4651,88.12744011458771,7736.4,209.3753974976928,1224.380005,1.5245380952380954,1866.6139606703096,483.9620534171415
2001-07-01,61.4651,88.12744011458771,7689.7,208.11152398247356,1211.22998,1.5307904761904763,1854.1393178603812,480.7277190142367
2001-08-01,61.4651,88.12744011458771,7399.2,200.24952706231952,1133.579956,1.5398565217391305,1745.5504881593565,452.57359925109074
2001-09-01,61.5748,88.28472579671579,6838.6,185.07763214514793,1040.939941,1.5679388888888888,1632.1302144916056,423.16681793479364
2001-10-01,61.5748,88.28472579671579,6885.7,186.35233112944826,1059.780029,1.5716772727272728,1665.6321856695502,431.8529646723749
2001-11-01,61.5748,88.28472579671579,7425.7,200.96671438894288,1139.449951,1.592245,1814.283487229995,470.39418994023316
2001-12-01,62.9571,90.26664009394128,7688.4,208.07634120795998,1148.079956,1.578755,1812.53697093478,469.9413659335729
2002-01-01,62.9571,90.26664009394128,7648.5,206.99650066711953,1130.199951,1.5997142857142859,1807.997007328286,468.7642772822864
