date,bc_vancouver,ab_calgary,on_toronto,on_ottawa,qc_montreal,ab_edmonton,canada_house_index,canada_house_index_index_1999,bc_vancouver_index_1999,on_toronto_index_1999,qc_montreal_index_1999,ab_calgary_index_1999,on_ottawa_index_1999,canada_house_index_index_2008,bc_vancouver_index_2008,on_toronto_index_2008,qc_montreal_index_2008,ab_calgary_index_2008,on_ottawa_index_2008,ab_edmonton_index_2008
2010-09-01,156.08,150.41,124.63,132.14,136.69,161.36,99.7146,170.29947483028053,235.23737754333087,174.18588399720477,229.69248865736853,216.60426267281107,190.95375722543352,101.07609499964522,103.28899477202039,104.78392466789978,111.06687251157878,89.77021784541927,112.68013984821353,91.73393973848778
2010-10-01,154.67,154.52,125.17,133.29,136.09,166.05,99.7146,170.29947483028053,233.112283345893,174.94060097833685,228.68425474710133,222.5230414746544,192.61560693641619,101.07609499964522,102.35589967573289,105.23793509332438,110.5793450881612,92.22321695016413,113.66078280890252,94.40022740193292
2010-11-01,158.4,155.2,126.06,131.82,137.6,162.65,99.7146,170.29947483028053,238.733986435569,176.18448637316564,231.2216434212737,223.50230414746542,190.49132947976878,101.07609499964522,104.82430017867779,105.98621153522785,111.8062891037621,92.62906595046253,112.40726528523919,92.46731097214327
2010-12-01,158.38,152.3,126.85,131.52,139.06,161.18,98.7219,168.6040732675804,238.70384325546348,177.28860936408105,233.67501260292389,219.3260368663595,190.0578034682081,100.06984075496943,104.81106478724107,106.65041197242306,112.99260583407818,90.89823933154281,112.15144538245076,91.63160886867539
2011-01-01,158.38,150.06,127.33,130.93,138.92,160.06,98.7219,168.6040732675804,238.70384325546348,177.95946890286513,233.43975802386154,216.10023041474656,189.20520231213874,100.06984075496943,104.81106478724107,107.0539767950227,112.87884943528073,89.56132497761861,111.64833290696683,90.99488345650938
2011-02-01,160.76,153.61,126.11,133.42,139.77,157.93,98.7219,168.6040732675804,242.2908816880181,176.2543675751223,234.8680893967401,221.21255760368666,192.80346820809245,100.06984075496943,106.38607636820858,106.02824953758198,113.5695132851223,91.68009549388243,113.77163810011083,89.78396816372938
2011-03-01,162.72,150.75,128.02,131.15,140.85,162.25,100.5969,171.8063276546689,245.24491333835724,178.92382948986725,236.68291043522095,217.0938940092166,189.52312138728325,101.97044185174298,107.68314472900535,107.63410122750967,114.44706264727391,89.97314234556848,111.8359341690117,92.23990903922683
2011-04-01,166.7,151.91,129.99,136.68,142.8,162.51,100.5969,171.8063276546689,251.24340617935195,181.67714884696016,239.9596706435893,218.764400921659,197.514450867052,101.97044185174298,110.31698762490898,109.29039852026233,116.03152677338102,90.66547299313636,116.55154771041187,92.3877202956225
2011-05-01,168.64,156.79,132.62,136.2,144.22,162.68,100.5969,171.8063276546689,254.16729464958553,185.3529000698812,242.34582423122166,225.7920506912442,196.8208092485549,101.97044185174298,111.60082059426905,111.50159744408947,117.18534167546926,93.57803640704266,116.14223586595035,92.48436611711199
2011-06-01,171.63,158.86,136.12,139.43,146.09,165.93,102.5685,175.1735621877802,258.67370007535794,190.24458420684837,245.48815325155437,228.7730414746544,201.48843930635837,103.96896191702227,113.57951161405597,114.44425760887844,118.70480214512067,94.81348851089227,118.89656348597255,94.33200682205799
2011-07-01,171.84,162.74,137.32,140.74,144.56,165.56,102.5685,175.1735621877802,258.99020346646574,191.92173305380854,242.91715678037303,234.360599078341,203.3815028901734,103.96896191702227,113.71848322414135,115.45316966537752,117.46160721540588,97.12921515965384,120.01364372814874,94.12166003411029
2011-08-01,171.78,160.26,138.93,140.59,145.27,165.9,102.5685,175.1735621877802,258.89977392614924,194.17190775681343,244.11023357418924,230.78917050691246,203.16473988439307,103.96896191702227,113.67877704983125,116.80679334118042,118.03851466645001,95.64905998209488,119.8857337767545,94.31495167708925
2011-09-01,171.07,155.14,138.45,139.33,144.57,163.84,103.7585,177.20592630545235,257.8296910324039,193.50104821802933,242.9339606788775,223.41589861751152,201.34393063583818,105.17521007977454,113.20892065382833,116.40322851858078,117.46973267246284,92.59325574455384,118.81129018504308,93.14383172256964
2011-10-01,170.26,155.41,137.81,138.07,144.28,164.87,103.7585,177.20592630545235,256.60889223813115,192.60656883298395,242.44664762224838,223.80472350230414,199.5231213872832,105.17521007977454,112.67288730064192,115.86514208844795,117.23409441781101,92.75440167114294,117.73684659333163,93.72939169982945
2011-11-01,171.54,152.37,139.17,139.74,147.06,165.71,103.7585,177.20592630545235,258.5380557648832,194.50733752620545,247.1181314064863,219.42684331797238,201.93641618497108,105.17521007977454,113.5199523525908,117.00857575248023,119.49297147964575,90.94001790510295,119.16091071885393,94.20693575895396
2011-12-01,169.5,157.95,138.96,136.6,142.09,164.05,103.6796,177.0711754408437,255.46345139412213,194.21383647798746,238.76659384977316,227.4625576036866,197.39884393063582,105.09523278562231,112.16994242604723,116.8320161425929,115.4546193223369,94.27036705461055,116.4833290696683,93.26321773735077
2012-01-01,168.33,153.85,140.04,138.25,145.87,159.52,103.6796,177.0711754408437,253.7000753579503,195.72327044025158,245.11846748445643,221.55817972350232,199.78323699421964,105.09523278562231,111.3956720270002,117.74003699344206,118.52604208986757,91.82333631751715,117.8903385350047,90.68789084707221
2012-02-01,169.31,150.4,139.49,137.51,146.5,161.06,103.6796,177.0711754408437,255.17709118311984,194.95457721872816,246.17711309023696,216.58986175115209,198.71387283236993,105.09523278562231,112.04420620739856,117.27761896754667,119.037945884456,89.76424947776783,117.25931610812654,91.56338828880045
2012-03-01,173.06,154.02,140.62,136.37,147.35,164.31,105.5386,180.24610392382905,260.8289374529013,196.533892382949,247.60544446311545,221.80299539170508,197.0664739884393,106.9796154197034,114.52584210178016,118.22767782074996,119.72860973429755,91.92479856759176,116.28720047753049,93.41102899374644
2012-04-01,172.03,161.15,143.63,141.26,149.68,166.29,105.5386,180.24610392382905,259.276563677468,200.74074074074076,251.52075281465304,232.07085253456222,204.13294797687857,106.9796154197034,113.84421944279002,120.75836556246846,121.62184122856911,96.1802447030737,120.457064892982,94.53666856168277
2012-05-01,174.91,159.22,145.71,139.65,151.0,167.87,105.5386,180.24610392382905,263.61718161266015,203.64779874213838,253.7388674172408,229.29147465437788,201.8063583815029,106.9796154197034,115.75011580967507,122.50714646040022,122.69440156008775,95.02834974634436,119.0841647480174,95.43490619670267
2012-06-01,172.83,162.42,147.77,144.6,152.19,170.28,106.9303,182.6229452201016,260.482290881688,206.52690426275333,255.73853133927074,233.89976958525344,208.95953757225433,108.3903175777726,114.37363510025808,124.2391121573903,123.66133094986593,96.93822739480751,123.30519314402662,96.80500284252416
2012-07-01,172.78,162.18,150.62,143.19,151.11,168.29,106.9303,182.6229452201016,260.4069329314243,210.51013277428373,253.92371030078982,233.5541474654378,206.92196531791907,108.3903175777726,114.34054662166633,126.63527829157559,122.78378158771433,96.79498657117279,122.10283960092096,95.67367822626491
2012-08-01,169.21,161.3,148.81,144.49,152.0,171.54,106.9303,182.6229452201016,255.02637528259237,207.98043326345214,255.4192572676861,232.28686635944703,208.80057803468208,108.3903175777726,111.97802925021507,125.11350260635614,123.50694726578371,96.26977021784542,123.2113925130042,97.52131893121091
2012-09-01,169.97,164.95,148.16,140.79,149.01,166.62,106.0767,181.16510823619828,256.17181612660136,207.0719776380154,250.39489161485463,237.54320276497697,203.4537572254335,107.52506259312943,112.48097412480973,124.56700857575247,121.07743560575281,98.44822441062368,120.05628037861345,94.72427515633883
2012-10-01,167.74,161.09,148.05,142.51,150.37,169.85,106.0767,181.16510823619828,252.810851544838,206.9182389937107,252.68022181146029,231.9844470046083,205.93930635838146,107.52506259312943,111.00522797961749,124.47452497057341,122.18249776549932,96.14443449716502,121.5229811546005,96.56054576463899
2012-11-01,167.04,163.17,147.6,142.09,149.63,166.87,106.0767,181.16510823619828,251.75584024114545,206.28930817610063,251.43673332213075,234.9798387096774,205.33236994219655,107.52506259312943,110.54198927933292,124.09618294938625,121.58121394328431,97.38585496866605,121.16483329069669,94.8664013644116
2012-12-01,165.21,160.99,146.75,139.54,148.17,166.44,104.7044,178.8213995986508,248.99773926149211,205.1013277428372,248.98336414048057,231.84043778801845,201.64739884393063,106.13402532107487,109.33095096287472,123.38153690936606,120.39489721296823,96.08475082065056,118.99036411699497,94.62194428652643
2013-01-01,166.01,160.82,146.51,143.78,149.68,165.88,104.7044,178.8213995986508,250.20346646571215,204.76589797344516,251.52075281465304,231.59562211981566,207.77456647398841,106.13402532107487,109.86036662034277,123.17975449806625,121.62184122856911,95.98328857057594,122.60595207640488,94.30358158044343
2013-02-01,169.64,157.09,146.39,138.21,147.04,165.03,104.7044,178.8213995986508,255.67445365486057,204.5981830887491,247.0845236094774,226.22407834101384,199.72543352601156,106.13402532107487,112.26259016610413,123.07886329241633,119.4767205655318,93.75708743658609,117.8562292146329,93.82035247299602
2013-03-01,165.29,167.46,147.59,138.86,151.88,171.49,105.4775,180.14175312753514,249.11831198191413,206.27533193570932,255.21761048563266,241.15783410138252,200.66473988439307,106.91768116529654,109.38389252862153,124.08777534891541,123.40944178110018,99.94628469113698,118.41050567067452,97.49289368959636
2013-04-01,167.15,165.8,148.33,143.41,151.81,172.37,105.4775,180.14175312753514,251.92162773172572,207.3095737246681,255.09998319610153,238.7672811059908,207.2398843930636,106.91768116529654,110.61478393223479,124.70993778375652,123.35256358170147,98.95553566099672,122.29044086296581,97.99317794201251
2013-05-01,169.55,168.52,151.06,142.95,153.49,174.87,105.4775,180.14175312753514,255.53880934438587,211.12508735150243,257.9230381448496,242.68433179723505,206.5751445086705,106.91768116529654,112.20303090463901,127.00521271229192,124.71764036727066,100.57893166219039,121.89818367869019,99.4144400227402
2013-06-01,168.02,174.79,154.07,143.74,154.48,173.18,107.0699,182.86136373340165,253.23285606631504,215.3319357092942,259.58662409679044,251.71370967741936,207.71676300578034,108.53182366476437,111.19052345973132,129.53590045401043,125.52206061590965,104.32109817964785,122.5718427560331,98.45366685616827
2013-07-01,170.99,168.92,154.36,145.3,152.36,176.3,107.0699,182.86136373340165,257.70911831198197,215.73724668064293,256.0241976138464,243.26036866359445,209.97109826589596,108.53182366476437,113.15597908808152,129.7797208676644,123.79946371983425,100.81766636824827,123.90210625053297,100.22740193291644
