date,house_price_at_purchase,down_payment,initial_loan_amount,mortgage_type,mortgage_term_years,mortgage_rate,mortgage_payment,mortgage_interest,mortgage_principal,mortgage_balance,house_price,owner_networth,year,rent,maintenance_cost,property_tax,structure_value,depreciation_cost,home_insurance_cost,owner_monthly_cost,purchase_cost,sale_cost,owner_monthly_unrecoverable_cost,scenario_id,city,portfolio_name,start_date,end_date,down_payment_pct,property_tax_rate,structure_ratio,sp500_return,tsx_return,rent_growth_mode,rent_control_rate,annual_move_probability,move_cost_multiplier,portfolio_return,portfolio_return_net,monthly_investment_cost,owner_total_cash_outflow,month_number,monthly_move_probability,random_move,renter_moves,actual_renter_rent,move_cost,renter_total_cash_outflow,monthly_savings_difference,renter_monthly_investment,renter_portfolio_value,renter_networth,wealth_difference,wealth_ratio,investment_fee,tax_drag
2018-06-01,318500,63700.0,254800.0,5-year fixed,5,0.0395999999999999,1397.4248092923503,513.4384835642885,883.9863257280618,154703.43293617756,756800,602096.5670638224,2018,1378.0,459.3333333333333,441.4666666666667,340560.0,283.8,189.2,1887.2384835642888,0.0,0.0,1887.2384835642888,6,Toronto,balanced,2005-01-01,2025-12-01,0.2,0.007,0.45,0.004842436024186547,0.013460760202969935,controlled,0.025,0.08,1.8,0.009151598113578241,0.008922431446911573,0.00022916666666666666,2582.0248092923503,161,0.006666666666666667,0.6323058305935795,False,1290.138858448878,0.0,1290.138858448878,1291.8859508434723,1291.8859508434723,428465.5134843286,428465.5134843286,-173631.05357949383,0.7116225816961204,0.001,0.00175
2018-07-01,318500,63700.0,254800.0,5-year fixed,5,0.0395999999999999,1397.4248092923503,510.5213286893859,886.9034806029645,153816.5294555746,761100,607283.4705444254,2018,1378.0,459.3333333333333,443.975,342495.0,285.4125,190.275,1889.5171620227193,0.0,0.0,1889.5171620227193,6,Toronto,balanced,2005-01-01,2025-12-01,0.2,0.007,0.45,0.03602155622136727,0.009602093661881028,controlled,0.025,0.08,1.8,0.022811824941624148,0.022582658274957482,0.00022916666666666666,2586.1456426256836,162,0.006666666666666667,0.6335297107608947,False,1292.8266477373134,0.0,1292.8266477373134,1293.3189948883703,1293.3189948883703,439434.72275283776,439434.72275283776,-167848.74779158767,0.723607251089656,0.001,0.00175
2018-08-01,318500,63700.0,254800.0,5-year fixed,5,0.0395999999999999,1397.4248092923503,507.59454720339613,889.8302620889542,152926.69919348566,762500,609573.3008065143,2018,1378.0,459.3333333333333,444.7916666666667,343125.0,285.9375,190.625,1888.282047203396,0.0,0.0,1888.282047203396,6,Toronto,balanced,2005-01-01,2025-12-01,0.2,0.007,0.45,0.030263211466054596,-0.010411342339053165,controlled,0.025,0.08,1.8,0.009925934563500716,0.009696767896834048,0.00022916666666666666,2587.4873092923503,163,0.006666666666666667,0.5357746840747585,False,1295.5200365867663,0.0,1295.5200365867663,1291.967272705584,1291.967272705584,444987.78653788724,444987.78653788724,-164585.5142686271,0.7299988138409814,0.001,0.00175
2018-09-01,318500,63700.0,254800.0,5-year fixed,5,0.0395999999999999,1397.4248092923503,504.65810733850265,892.7667019538477,152033.93249153183,767800,615766.0675084682,2018,1378.0,459.3333333333333,447.8833333333334,345510.0,287.925,191.95,1891.7497740051697,0.0,0.0,1891.7497740051697,6,Toronto,balanced,2005-01-01,2025-12-01,0.2,0.007,0.45,0.004294287102661443,-0.011670735231723683,controlled,0.025,0.08,1.8,-0.0036882240645311204,-0.003917390731197787,0.00022916666666666666,2592.566475959017,164,0.006666666666666667,0.0902897700544083,False,1298.2190366629889,0.0,1298.2190366629889,1294.3474392960284,1294.3474392960284,444538.9429467035,444538.9429467035,-171227.12456176465,0.7219282880354398,0.001,0.00175
2018-10-01,318500,63700.0,254800.0,5-year fixed,5,0.0395999999999999,1397.4248092923503,501.71197722205494,895.7128320702955,151138.21965946152,768300,617161.7803405385,2018,1378.0,459.3333333333333,448.175,345735.0,288.1125,192.075,1889.4078105553883,0.0,0.0,1889.4078105553883,6,Toronto,balanced,2005-01-01,2025-12-01,0.2,0.007,0.45,-0.06940335602442949,-0.06506523321574564,controlled,0.025,0.08,1.8,-0.06723429462008756,-0.06746346128675423,0.00022916666666666666,2593.0456426256837,165,0.006666666666666667,0.835302495589238,False,1300.923659656037,0.0,1300.923659656037,1292.1219829696468,1292.1219829696468,415840.9291617336,415840.9291617336,-201320.85117880488,0.673795660081673,0.001,0.00175
2018-11-01,318500,63700.0,254800.0,5-year fixed,5,0.0395999999999999,1397.4248092923503,498.75612487622294,898.6686844161275,150239.5509750454,767100,616860.4490249546,2018,1378.0,459.3333333333333,447.475,345195.0,287.6625,191.775,1885.0019582095565,0.0,0.0,1885.0019582095565,6,Toronto,balanced,2005-01-01,2025-12-01,0.2,0.007,0.45,0.01785935678884898,0.011346016915879664,controlled,0.025,0.08,1.8,0.014602686852364322,0.014373520185697654,0.00022916666666666666,2591.8956426256836,166,0.006666666666666667,0.32078006497173583,False,1303.6339172803205,0.0,1303.6339172803205,1288.2617253453632,1288.2617253453632,423106.28887642437,423106.28887642437,-193754.1601485302,0.6859027670605413,0.001,0.00175
2018-12-01,318500,63700.0,254800.0,5-year fixed,5,0.0395999999999999,1397.4248092923503,495.7905182176497,901.6342910747006,149337.9166839707,766100,616762.0833160293,2018,1378.0,459.3333333333333,446.89166666666665,344745.0,287.2875,191.525,1880.82801821765,0.0,0.0,1880.82801821765,6,Toronto,balanced,2005-01-01,2025-12-01,0.2,0.007,0.45,-0.09177689459656391,-0.057567542670649674,controlled,0.025,0.08,1.8,-0.07467221863360679,-0.07490138530027346,0.00022916666666666666,2590.93730929235,167,0.006666666666666667,0.18651851039985423,False,1306.3498212746547,0.0,1306.3498212746547,1284.5874880176955,1284.5874880176955,392699.6291983402,392699.6291983402,-224062.4541176891,0.6367116913007776,0.001,0.00175
2019-01-01,318500,63700.0,254800.0,5-year fixed,5,0.0395999999999999,1397.4248092923503,492.8151250571032,904.6096842352472,148433.30699973545,760000,611566.6930002646,2019,1476.0,492.0,443.3333333333333,342000.0,285.0,190.0,1903.1484583904364,0.0,0.0,1903.1484583904364,6,Toronto,balanced,2005-01-01,2025-12-01,0.2,0.007,0.45,0.07868440165503676,0.08501769892968603,controlled,0.025,0.08,1.8,0.0818510502923614,0.08162188362569472,0.00022916666666666666,2617.758142625684,168,0.006666666666666667,0.040775141554763916,False,1309.0713834023104,0.0,1309.0713834023104,1308.6867592233734,1308.6867592233734,426061.1993918439,426061.1993918439,-185505.49360842066,0.6966716864544152,0.001,0.00175
2019-02-01,318500,63700.0,254800.0,5-year fixed,5,0.0395999999999999,1397.4248092923503,489.8299130991269,907.5948961932236,147525.71210354223,753900,606374.2878964578,2019,1476.0,492.0,439.775,339255.0,282.71250000000003,188.475,1892.7924130991269,0.0,0.0,1892.7924130991269,6,Toronto,balanced,2005-01-01,2025-12-01,0.2,0.007,0.45,0.029728889126352298,0.029496930620439343,controlled,0.025,0.08,1.8,0.02961290987339582,0.029383743206729155,0.00022916666666666666,2611.9123092923505,169,0.006666666666666667,0.5908929431882418,False,1311.7986154510654,0.0,1311.7986154510654,1300.113693841285,1300.113693841285,439880.58595896617,439880.58595896617,-166493.70193749166,0.7254275036709316,0.001,0.00175
2019-03-01,318500,63700.0,254800.0,5-year fixed,5,0.0395999999999999,1397.4248092923503,486.8348499416893,910.589959350661,146615.12214419158,752700,606084.8778558085,2019,1476.0,492.0,439.0750000000001,338715.0,282.2625,188.175,1888.3473499416891,0.0,0.0,1888.3473499416891,6,Toronto,balanced,2005-01-01,2025-12-01,0.2,0.007,0.45,0.017924256211817147,0.006444152759547572,controlled,0.025,0.08,1.8,0.01218420448568236,0.011955037819015692,0.00022916666666666666,2610.7623092923504,170,0.006666666666666667,0.6775643618422824,False,1314.5315292332552,0.0,1314.5315292332552,1296.2307800590952,1296.2307800590952,446435.60578001547,446435.60578001547,-159649.272075793,0.7365892502703646,0.001,0.00175
